produto_id,produto_nome,produto_codigo,produto_preco,produto_estoque_atual
852301100,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti,KBA1026,200.0,0.0
852301160,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Retro - G,KBA1026-Retro-G,200.0,-28.0
852301206,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Retro - GG,KBA1026-Retro-GG,200.0,-35.0
852301302,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Retro - M,KBA1026-Retro-M,200.0,-60.0
852301341,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Vintage - G,KBA1026-Vintage-G,200.0,-50.0
852301408,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Vintage - GG,KBA1026-Vintage-GG,200.0,-36.0
852301432,2 Blusas Masculina Lã Tricot Frio Gola V Losango Frete Gráti - Kit Vintage - M,KBA1026-Vintage-M,200.0,-38.0
834082504,Blusa Cardigan Casaco Trico Lã Masculina Escocesa,BA1006,70.0,0.0
834082593,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Azul-marinho - G,BA1006-7-G,70.0,-26.0
834083089,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Azul-marinho - GG,BA1006-7-GG,70.0,-23.0
834083025,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Azul-marinho - M,BA1006-7-M,70.0,-16.0
910145714,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Azul-marinho - P,BA1006-7-P,70.0,0.0
834083271,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Cinza - G,BA1006-6-G,70.0,-26.0
834083201,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Cinza - GG,BA1006-6-GG,70.0,-20.0
834083145,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Cinza - M,BA1006-6-M,70.0,-35.0
910145737,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Cinza - P,BA1006-6-P,70.0,-30.0
834082908,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Preto - G,BA1006-1-G,70.0,-28.0
834082968,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Preto - GG,BA1006-1-GG,70.0,-35.0
834082818,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Preto - M,BA1006-1-M,70.0,-60.0
910145729,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Preto - P,BA1006-1-P,70.0,0.0
834082680,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Vermelho - G,BA1006-12-G,70.0,-50.0
834082764,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Vermelho - GG,BA1006-12-GG,70.0,-36.0
834082644,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Vermelho - M,BA1006-12-M,70.0,-38.0
910145722,Blusa Cardigan Casaco Trico Lã Masculina Escocesa - Vermelho - P,BA1006-12-P,70.0,0.0
834108552,Blusa De Frio Masculina De Tricô Suéter Masculino,BA1038,65.0,0.0
904864121,Blusa De Frio Masculina De Tricô Suéter Masculino - Azul Marinho - G,BA1038-7-G,65.0,0.0
904864130,Blusa De Frio Masculina De Tricô Suéter Masculino - Azul Marinho - GG,BA1038-7-GG,65.0,0.0
904864114,Blusa De Frio Masculina De Tricô Suéter Masculino - Azul Marinho - M,BA1038-7-M,65.0,0.0
904864100,Blusa De Frio Masculina De Tricô Suéter Masculino - Bege - G,BA1038-4-G,65.0,0.0
904864108,Blusa De Frio Masculina De Tricô Suéter Masculino - Bege - GG,BA1038-4-GG,65.0,0.0
904864082,Blusa De Frio Masculina De Tricô Suéter Masculino - Bege - M,BA1038-4-M,65.0,0.0
834108846,Blusa De Frio Masculina De Tricô Suéter Masculino - Cinza - G,BA1038-6-G,65.0,-21.0
904864049,Blusa De Frio Masculina De Tricô Suéter Masculino - Cinza - GG,BA1038-6-GG,65.0,-30.0
834108649,Blusa De Frio Masculina De Tricô Suéter Masculino - Cinza - M,BA1038-6-M,65.0,-26.0
834108796,Blusa De Frio Masculina De Tricô Suéter Masculino - Preto - G,BA1038-1-G,65.0,-21.0
904864064,Blusa De Frio Masculina De Tricô Suéter Masculino - Preto - GG,BA1038-1-GG,65.0,-33.0
834108755,Blusa De Frio Masculina De Tricô Suéter Masculino - Preto - M,BA1038-1-M,65.0,-22.0
866921365,Blusa de Frio Masculina Degrade Gola Careca,BA1040,65.0,0.0
866935062,Blusa de Frio Masculina Degrade Gola Careca - Azul Marinho - G,BA1040-7-G,65.0,0.0
866935082,Blusa de Frio Masculina Degrade Gola Careca - Azul Marinho - GG,BA1040-7-GG,65.0,-5.0
866935042,Blusa de Frio Masculina Degrade Gola Careca - Azul Marinho - M,BA1040-7-M,65.0,-4.0
866935050,Blusa de Frio Masculina Degrade Gola Careca - Preto - G,BA1040-1-G,65.0,-1.0
866935071,Blusa de Frio Masculina Degrade Gola Careca - Preto - GG,BA1040-1-GG,65.0,-12.0
866935031,Blusa de Frio Masculina Degrade Gola Careca - Preto - M,BA1040-1-M,65.0,0.0
834109090,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô,BA1001,65.0,0.0
834086128,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Azul-marinho - Liso - G,BA1001-7-G,65.0,-9.0
903868823,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Azul-marinho - Liso - GG,BA1001-7-GG,65.0,-12.0
834087758,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Azul-marinho - Liso - M,BA1001-7-M,65.0,-14.0
834086021,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Branco - Liso - G,BA1001-2-G,65.0,-12.0
903868829,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Branco - Liso - GG,BA1001-2-GG,65.0,-4.0
834087645,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Branco - Liso - M,BA1001-2-M,65.0,-7.0
834087457,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Cinza - Liso - G,BA1001-6-G,65.0,-34.0
903868835,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Cinza - Liso - GG,BA1001-6-GG,65.0,-21.0
834086465,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Cinza - Liso - M,BA1001-6-M,65.0,-29.0
834086815,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Grafite - Liso - G,BA1001-8-G,65.0,-13.0
903868840,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Grafite - Liso - GG,BA1001-8-GG,65.0,-8.0
834087145,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Grafite - Liso - M,BA1001-8-M,65.0,-6.0
834086700,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Marsala - Liso - G,BA1001-3-G,65.0,-20.0
903868845,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Marsala - Liso - GG,BA1001-3-GG,65.0,-12.0
834087049,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Marsala - Liso - M,BA1001-3-M,65.0,-12.0
834087375,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Preto - Liso - G,BA1001-1-G,65.0,-66.0
903868850,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Preto - Liso - GG,BA1001-1-GG,65.0,-28.0
834086347,Blusa De Frio Masculina Lã Gola Alta Segunda Pele Tricô - Preto - Liso - M,BA1001-1-M,65.0,-49.0
834110163,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente,BA1042,70.0,0.0
842067932,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Azul-piscina - M / G,BA1042-11,70.0,0.0
842067990,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Blusa de Frio Feminina Marsala - M / G,BA1042-3,70.0,0.0
842067893,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Fúcsia - M / G,BA1042-15,70.0,0.0
842068502,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Laranja - M / G,BA1042-9,70.0,-2.0
842067724,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Lilás - M / G,BA1042-10,70.0,-1.0
842067776,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Off - M / G,BA1042-13,70.0,-165.0
842067738,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Preto - M / G,BA1042-1,70.0,-199.0
842067865,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Verde-escuro - M / G,BA1042-17,70.0,-3.0
842067950,Blusa Feminina Tricot Lã Grossa Ampla De Frio Inverno Quente - Verde-musgo - M / G,BA1042-177,70.0,0.0
903901664,Blusa gola alta Feminina Segunda Pele,BA1000,39.9,0.0
905043108,Blusa gola alta Feminina Segunda Pele - Bege - G/GG,BA1000-4-GG,39.9,0.0
905043076,Blusa gola alta Feminina Segunda Pele - Bege - P/M,BA1000-4-M,39.9,-13.0
905043126,Blusa gola alta Feminina Segunda Pele - Branco - G/GG,BA1000-2-GG,39.9,-4.0
905043092,Blusa gola alta Feminina Segunda Pele - Branco - P/M,BA1000-2-M,39.9,-30.0
905043130,Blusa gola alta Feminina Segunda Pele - Cinza - G/GG,BA1000-6-GG,39.9,0.0
905043099,Blusa gola alta Feminina Segunda Pele - Cinza - P/M,BA1000-6-M,39.9,-18.0
906925290,Blusa gola alta Feminina Segunda Pele - Ferrugem - G/GG,BA1000-9-gg,39.9,0.0
906925284,Blusa gola alta Feminina Segunda Pele - Ferrugem - P/M,BA1000-9-M,39.9,-16.0
905043112,Blusa gola alta Feminina Segunda Pele - Marsala - G/GG,BA1000-3-GG,39.9,0.0
905043080,Blusa gola alta Feminina Segunda Pele - Marsala - P/M,BA1000-3-M,39.9,-13.0
905043116,Blusa gola alta Feminina Segunda Pele - Preto - G/GG,BA1000-1-GG,39.9,-9.0
905043084,Blusa gola alta Feminina Segunda Pele - Preto - P/M,BA1000-1-M,39.9,-34.0
905043122,Blusa gola alta Feminina Segunda Pele - Rosa - G/GG,BA1000-5-GG,39.9,0.0
905043088,Blusa gola alta Feminina Segunda Pele - Rosa - P/M,BA1000-5-M,39.9,-26.0
909556831,Blusa Masculina Fang Intarsia Kl,BA1069,79.0,0.0
909556962,Blusa Masculina Fang Intarsia Kl - G - Azul Jeans,BA1069-7-G,79.0,0.0
909557009,Blusa Masculina Fang Intarsia Kl - G - Camil,BA1069-4-G,79.0,-1.0
909557055,Blusa Masculina Fang Intarsia Kl - G - Chumbo,BA1069-8-G,79.0,0.0
909556871,Blusa Masculina Fang Intarsia Kl - G - Preta,BA1069-1-G,79.0,-57.0
909556918,Blusa Masculina Fang Intarsia Kl - G - Verde Militar,BA1069-17-G,79.0,-30.0
909556974,Blusa Masculina Fang Intarsia Kl - GG - Azul Jeans,BA1069-7-GG,79.0,0.0
909557020,Blusa Masculina Fang Intarsia Kl - GG - Camil,BA1069-4-GG,79.0,0.0
909557065,Blusa Masculina Fang Intarsia Kl - GG - Chumbo,BA1069-8-GG,79.0,0.0
909556883,Blusa Masculina Fang Intarsia Kl - GG - Preta,BA1069-1-GG,79.0,-38.0
909556929,Blusa Masculina Fang Intarsia Kl - GG - Verde Militar,BA1069-17-GG,79.0,-26.0
909556951,Blusa Masculina Fang Intarsia Kl - M - Azul Jeans,BA1069-7-M,79.0,0.0
906342877,Coberta De Bebê Em Tricô Manta Super Quentinha BICHINHO - Cinza,BA1070,16.0,87.0
834120643,Coberta De Bebê Em Tricô Manta Super Quentinha BICHINHO - Branco,BA1070-2,16.0,123.0
834120003,Coberta De Bebê Em Tricô Manta Super Quentinha BICHINHO - Azul,BA1070-3,16.5,72.0

